,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
15204,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm did you know that's Daddy's favorite kind?,,
15205,Gelman/2014-IndDiff/55C-P1.cha,CAR,it's yellow cake with chocolate frosting.,,
15206,Gelman/2014-IndDiff/55C-P1.cha,CHI,wow.,,
15207,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's your favorite part the cake or the frosting?,,
15208,Gelman/2014-IndDiff/55C-P1.cha,CHI,"the frost, the frosting.",1,
15209,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm.,,
15210,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you know what?,,
15211,Gelman/2014-IndDiff/55C-P1.cha,CAR,my birthday's coming up pretty soon.,,
15212,Gelman/2014-IndDiff/55C-P1.cha,CAR,"in about, nine days.",,
15213,Gelman/2014-IndDiff/55C-P1.cha,CAR,think we'll make a cake for it?,,
15214,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm-hm.,,
15215,Gelman/2014-IndDiff/55C-P1.cha,CAR,will you help Daddy make a cake?,,
15216,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15217,Gelman/2014-IndDiff/55C-P1.cha,CHI,can we please make this kind?,1,
15218,Gelman/2014-IndDiff/55C-P1.cha,CAR,the yellow cake with the chocolate frosting?,,
15219,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15220,Gelman/2014-IndDiff/55C-P1.cha,CAR,sure.,,
15221,Gelman/2014-IndDiff/55C-P1.cha,CAR,that sounds good to me.,,
15222,Gelman/2014-IndDiff/55C-P1.cha,CAR,we'll have to look downstairs and see if we have those kinds of cake mixes.,,
15223,Gelman/2014-IndDiff/55C-P1.cha,CAR,alright.,,
15224,Gelman/2014-IndDiff/55C-P1.cha,CAR,whoa what does that look like?,,
15225,Gelman/2014-IndDiff/55C-P1.cha,CHI,pilot.,,
15226,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh that's a good idea huh?,,
15227,Gelman/2014-IndDiff/55C-P1.cha,CAR,a pilot.,,
15228,Gelman/2014-IndDiff/55C-P1.cha,CAR,we were just talking about pilots weren't we?,,
15229,Gelman/2014-IndDiff/55C-P1.cha,CAR,"and going to pilot, going to school to learn how to be a pilot?",,
15230,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15231,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you know Uncle Firstname knows how to fly airplanes?,,
15232,Gelman/2014-IndDiff/55C-P1.cha,CAR,firstname's dad.,,
15233,Gelman/2014-IndDiff/55C-P1.cha,CAR,aunt Firstname's husband.,,
15234,Gelman/2014-IndDiff/55C-P1.cha,CHI,wow.,,
15235,Gelman/2014-IndDiff/55C-P1.cha,CAR,what does it look like the pilots doing?,,
15236,Gelman/2014-IndDiff/55C-P1.cha,CHI,"flying an air, flying the airplane.",1,
15237,Gelman/2014-IndDiff/55C-P1.cha,CAR,but he's not looking out the window.,,
15238,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm.,,
15239,Gelman/2014-IndDiff/55C-P1.cha,CAR,hm.,,
15240,Gelman/2014-IndDiff/55C-P1.cha,CAR,kinda of tough to tell.,,
15241,Gelman/2014-IndDiff/55C-P1.cha,CHI,uh huh.,1,
15242,Gelman/2014-IndDiff/55C-P1.cha,CAR,maybe he's saying something to someone else over here.,,
15243,Gelman/2014-IndDiff/55C-P1.cha,CHI,no maybe he's talking on the radio.,1,
15244,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh that's true.,,
15245,Gelman/2014-IndDiff/55C-P1.cha,CAR,to the air traffic controllers?,,
15246,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15247,Gelman/2014-IndDiff/55C-P1.cha,CAR,good.,,
15248,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you remember what the air traffic controllers do?,,
15249,Gelman/2014-IndDiff/55C-P1.cha,CHI,what?,,
15250,Gelman/2014-IndDiff/55C-P1.cha,CAR,they're the ones that sit up in those big high towers and they make sure that none of the planes bump into each other.,,
15251,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15252,Gelman/2014-IndDiff/55C-P1.cha,CAR,seems like an important job.,,
15253,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh what's that?,,
15254,Gelman/2014-IndDiff/55C-P1.cha,CHI,penguin.,,
15255,Gelman/2014-IndDiff/55C-P1.cha,CAR,look at that.,,
15256,Gelman/2014-IndDiff/55C-P1.cha,CAR,you know I didn't know penguins had claws.,,
15257,Gelman/2014-IndDiff/55C-P1.cha,CHI,I think those are they help them catch fish.,1,
15258,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh do penguins catch fish?,,
15259,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh oh oh at least they like to eat fish.,1,
15260,Gelman/2014-IndDiff/55C-P1.cha,CAR,"mm, well the fish probably don't just crawl into their mouths by themselves huh?",,
15261,Gelman/2014-IndDiff/55C-P1.cha,CHI,no.,,
15262,Gelman/2014-IndDiff/55C-P1.cha,CAR,they probably have to catch them.,,
15263,Gelman/2014-IndDiff/55C-P1.cha,CHI,because they only have fins.,1,
15264,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh.,,
15265,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's that?,,
15266,Gelman/2014-IndDiff/55C-P1.cha,CHI,broccoli.,,
15267,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm.,,
15268,Gelman/2014-IndDiff/55C-P1.cha,CHI,my favorite with butter.,1,
15269,Gelman/2014-IndDiff/55C-P1.cha,CAR,yeah yum.,,
15270,Gelman/2014-IndDiff/55C-P1.cha,CAR,you know Firstname likes broccoli not cooked dipped in ranch dressing.,,
15271,Gelman/2014-IndDiff/55C-P1.cha,CHI,wow.,,
15272,Gelman/2014-IndDiff/55C-P1.cha,CAR,last night what were you dipping your broccoli in?,,
15273,Gelman/2014-IndDiff/55C-P1.cha,CHI,what?,,
15274,Gelman/2014-IndDiff/55C-P1.cha,CAR,didn't you dip it in ketchup last night?,,
15275,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh yeah.,1,
15276,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's that?,,
15277,Gelman/2014-IndDiff/55C-P1.cha,CHI,clown.,,
15278,Gelman/2014-IndDiff/55C-P1.cha,CAR,that's kind of silly.,,
15279,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15280,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's the clown doing with his fingers?,,
15281,Gelman/2014-IndDiff/55C-P1.cha,CHI,putting them in his ears.,1,
15282,Gelman/2014-IndDiff/55C-P1.cha,CAR,I wonder why he's doing that.,,
15283,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15284,Gelman/2014-IndDiff/55C-P1.cha,CAR,maybe somebody made a loud nose.,,
15285,Gelman/2014-IndDiff/55C-P1.cha,CHI,no.,,
15286,Gelman/2014-IndDiff/55C-P1.cha,CHI,I think just is one of his jokes.,-1,subject
15287,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh okay.,,
15288,Gelman/2014-IndDiff/55C-P1.cha,CAR,what do you think is in the clown's pockets?,,
15289,Gelman/2014-IndDiff/55C-P1.cha,CHI,I don't know.,1,
15290,Gelman/2014-IndDiff/55C-P1.cha,CAR,maybe balloons?,,
15291,Gelman/2014-IndDiff/55C-P1.cha,CAR,sometimes clowns make things out of balloons.,,
15292,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15293,Gelman/2014-IndDiff/55C-P1.cha,CHI,then what see the pockets are full.,-1,other
15294,Gelman/2014-IndDiff/55C-P1.cha,CAR,so maybe they're empty balloons waiting to be blown up.,,
15295,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you remember when you went to Firstname's birthday party and the clown made something for you?,,
15296,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15297,Gelman/2014-IndDiff/55C-P1.cha,CHI,it was a sword.,1,
15298,Gelman/2014-IndDiff/55C-P1.cha,CAR,yeah.,,
15299,Gelman/2014-IndDiff/55C-P1.cha,CAR,and when Daddy and I found a clown later that night that clown made us another sword for you.,,
15300,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm.,,
15301,Gelman/2014-IndDiff/55C-P1.cha,CHI,that clown did?,1,
15302,Gelman/2014-IndDiff/55C-P1.cha,CAR,no but it was a clown that looked kind of like that.,,
15303,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15304,Gelman/2014-IndDiff/55C-P1.cha,CAR,want to see what's on the next page?,,
15305,Gelman/2014-IndDiff/55C-P1.cha,CHI,I'll turn.,-1,object
15306,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh what does that look like?,,
15307,Gelman/2014-IndDiff/55C-P1.cha,CHI,a teacher.,1,
15308,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm-hm.,,
15309,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you know what she's teaching?,,
15310,Gelman/2014-IndDiff/55C-P1.cha,CHI,what?,,
15311,Gelman/2014-IndDiff/55C-P1.cha,CAR,"looks like she's teaching, trigonometry or geometry.",,
15312,Gelman/2014-IndDiff/55C-P1.cha,CAR,she's talking about shapes.,,
15313,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15314,Gelman/2014-IndDiff/55C-P1.cha,CAR,see right there?,,
15315,Gelman/2014-IndDiff/55C-P1.cha,CAR,there's those different shapes?,,
15316,Gelman/2014-IndDiff/55C-P1.cha,CAR,how many sides does this shape have?,,
15317,Gelman/2014-IndDiff/55C-P1.cha,CHI,uh.,,
15318,Gelman/2014-IndDiff/55C-P1.cha,CAR,"one, two, three, four.",,
15319,Gelman/2014-IndDiff/55C-P1.cha,CAR,daddy learned about a lot of that and so did I when we were in school.,,
15320,Gelman/2014-IndDiff/55C-P1.cha,CAR,what does that look like?,,
15321,Gelman/2014-IndDiff/55C-P1.cha,CHI,cereal.,,
15322,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you know what kind of cereal?,,
15323,Gelman/2014-IndDiff/55C-P1.cha,CHI,what?,,
15324,Gelman/2014-IndDiff/55C-P1.cha,CAR,it's called cornflakes.,,
15325,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm.,,
15326,Gelman/2014-IndDiff/55C-P1.cha,CAR,they take corn and they mix it with some other things.,,
15327,Gelman/2014-IndDiff/55C-P1.cha,CAR,and they roll it out really flat and make these crunchy little flakes.,,
15328,Gelman/2014-IndDiff/55C-P1.cha,CAR,I used to eat that a lot when I was growing up.,,
15329,Gelman/2014-IndDiff/55C-P1.cha,CAR,grandma and Grandpa liked to buy that.,,
15330,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm.,,
15331,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's that?,,
15332,Gelman/2014-IndDiff/55C-P1.cha,CHI,horse.,,
15333,Gelman/2014-IndDiff/55C-P1.cha,CAR,does that look like an adult horse or a baby horse?,,
15334,Gelman/2014-IndDiff/55C-P1.cha,CHI,an adult.,1,
15335,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm.,,
15336,Gelman/2014-IndDiff/55C-P1.cha,CAR,it's kind of hard to tell.,,
15337,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you remember when you got to ride a horse?,,
15338,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15339,Gelman/2014-IndDiff/55C-P1.cha,CHI,at at when we were at the zoo.,1,
15340,Gelman/2014-IndDiff/55C-P1.cha,CAR,yeah.,,
15341,Gelman/2014-IndDiff/55C-P1.cha,CAR,that was kind of fun wasn't it?,,
15342,Gelman/2014-IndDiff/55C-P1.cha,CAR,but the horse that you rode did it have a saddle on it?,,
15343,Gelman/2014-IndDiff/55C-P1.cha,CAR,something you can sit on?,,
15344,Gelman/2014-IndDiff/55C-P1.cha,CHI,yep.,,
15345,Gelman/2014-IndDiff/55C-P1.cha,CAR,this horse looks kind of wild and free.,,
15346,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15347,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's that look like?,,
15348,Gelman/2014-IndDiff/55C-P1.cha,CHI,someone playing baseball.,1,
15349,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm no.,,
15350,Gelman/2014-IndDiff/55C-P1.cha,CAR,baseballs are small and white.,,
15351,Gelman/2014-IndDiff/55C-P1.cha,CAR,white kind of ball is that?,,
15352,Gelman/2014-IndDiff/55C-P1.cha,CHI,football.,,
15353,Gelman/2014-IndDiff/55C-P1.cha,CAR,yeah.,,
15354,Gelman/2014-IndDiff/55C-P1.cha,CAR,and she's got a helmet on her head.,,
15355,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you know why?,,
15356,Gelman/2014-IndDiff/55C-P1.cha,CHI,why?,,
15357,Gelman/2014-IndDiff/55C-P1.cha,CAR,to protect her head.,,
15358,Gelman/2014-IndDiff/55C-P1.cha,CAR,because sometimes in football people crash into each other.,,
15359,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15360,Gelman/2014-IndDiff/55C-P1.cha,CAR,and she's got what on her shirt?,,
15361,Gelman/2014-IndDiff/55C-P1.cha,CHI,number three and zero.,1,
15362,Gelman/2014-IndDiff/55C-P1.cha,CAR,yeah a zero and a three.,,
15363,Gelman/2014-IndDiff/55C-P1.cha,CAR,that means she's player number three.,,
15364,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15365,Gelman/2014-IndDiff/55C-P1.cha,CAR,did you ever notice that Firstname has a number on her soccer shirt?,,
15366,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15367,Gelman/2014-IndDiff/55C-P1.cha,CHI,what number does she have?,1,
15368,Gelman/2014-IndDiff/55C-P1.cha,CAR,I'm not sure.,,
15369,Gelman/2014-IndDiff/55C-P1.cha,CAR,we'll have to look and see.,,
15370,Gelman/2014-IndDiff/55C-P1.cha,CAR,for awhile she was player number zero one.,,
15371,Gelman/2014-IndDiff/55C-P1.cha,CAR,so she was player number one.,,
15372,Gelman/2014-IndDiff/55C-P1.cha,CAR,all of the players on the team have a different number.,,
15373,Gelman/2014-IndDiff/55C-P1.cha,CAR,so they can keep track of them.,,
15374,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm.,,
15375,Gelman/2014-IndDiff/55C-P1.cha,CAR,they'll say player number one caught the ball.,,
15376,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm.,,
15377,Gelman/2014-IndDiff/55C-P1.cha,CHI,with their foot though.,1,
15378,Gelman/2014-IndDiff/55C-P1.cha,CAR,yes if it's soccer they have to use their foot but if it's football they can use their hands.,,
15379,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh why is football have the have the name foot in it?,-1,"determiner, auxiliary"
15380,Gelman/2014-IndDiff/55C-P1.cha,CAR,"mm maybe because they kick the ball, sometimes.",,
15381,Gelman/2014-IndDiff/55C-P1.cha,CHI,hm.,,
15382,Gelman/2014-IndDiff/55C-P1.cha,CAR,that's a good question.,,
15383,Gelman/2014-IndDiff/55C-P1.cha,CAR,I don't know.,,
15384,Gelman/2014-IndDiff/55C-P1.cha,CHI,why?,,
15385,Gelman/2014-IndDiff/55C-P1.cha,CAR,well I guess I hadn't thought about it before.,,
15386,Gelman/2014-IndDiff/55C-P1.cha,CAR,did you know in different countries though they call soccer football?,,
15387,Gelman/2014-IndDiff/55C-P1.cha,CAR,if you ask Firstname what football was she would describe the game soccer.,,
15388,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh.,,
15389,Gelman/2014-IndDiff/55C-P1.cha,CAR,did you cut your finger?,,
15390,Gelman/2014-IndDiff/55C-P1.cha,CHI,no.,,
15391,Gelman/2014-IndDiff/55C-P1.cha,CAR,is it just dry?,,
15392,Gelman/2014-IndDiff/55C-P1.cha,CHI,what?,,
15393,Gelman/2014-IndDiff/55C-P1.cha,CAR,is it just dry skin?,,
15394,Gelman/2014-IndDiff/55C-P1.cha,CHI,"I think it's, red.",1,
15395,Gelman/2014-IndDiff/55C-P1.cha,CAR,"hm, I think we need to start putting lotion on your hands again.",,
15396,Gelman/2014-IndDiff/55C-P1.cha,CHI,no I I think it's when I scrape it on something.,1,
15397,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm.,,
15398,Gelman/2014-IndDiff/55C-P1.cha,CAR,should we see what the next picture is?,,
15399,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm-hm.,,
15400,Gelman/2014-IndDiff/55C-P1.cha,CHI,I'll turn.,1,
15401,Gelman/2014-IndDiff/55C-P1.cha,CAR,okay.,,
15402,Gelman/2014-IndDiff/55C-P1.cha,CHI,"because I, know a a a where the part is.",1,
15403,Gelman/2014-IndDiff/55C-P1.cha,CAR,okay.,,
15404,Gelman/2014-IndDiff/55C-P1.cha,CAR,ooh what's that?,,
15405,Gelman/2014-IndDiff/55C-P1.cha,CHI,cra- crayfish.,-1,determiner
15406,Gelman/2014-IndDiff/55C-P1.cha,CAR,looks kind of like a crayfish doesn't it.,,
15407,Gelman/2014-IndDiff/55C-P1.cha,CAR,or a lobster.,,
15408,Gelman/2014-IndDiff/55C-P1.cha,CAR,it's kind of hard to tell.,,
15409,Gelman/2014-IndDiff/55C-P1.cha,CAR,because we don't know how big it is.,,
15410,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you remember where we saw our crayfish the last time?,,
15411,Gelman/2014-IndDiff/55C-P1.cha,CHI,in Utah!,1,
15412,Gelman/2014-IndDiff/55C-P1.cha,CAR,we saw a bunch of them in Utah.,,
15413,Gelman/2014-IndDiff/55C-P1.cha,CAR,but didn't you catch some when you went fishing with Daddy?,,
15414,Gelman/2014-IndDiff/55C-P1.cha,CHI,uh huh.,1,
15415,Gelman/2014-IndDiff/55C-P1.cha,CHI,where?,,
15416,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh it was when you went to go set the fish free in Firstname Creek.,,
15417,Gelman/2014-IndDiff/55C-P1.cha,CAR,didn't your daddy bring a crayfish back?,,
15418,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh yeah.,1,
15419,Gelman/2014-IndDiff/55C-P1.cha,CAR,and we saw a crayfish when we went inside the botanical gardens last time.,,
15420,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh yeah.,1,
15421,Gelman/2014-IndDiff/55C-P1.cha,CAR,yeah.,,
15422,Gelman/2014-IndDiff/55C-P1.cha,CHI,ready turn the page?,-1,tense_aspect
15423,Gelman/2014-IndDiff/55C-P1.cha,CAR,sure.,,
15424,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's that?,,
15425,Gelman/2014-IndDiff/55C-P1.cha,CHI,silver crocodile.,-1,determiner
15426,Gelman/2014-IndDiff/55C-P1.cha,CAR,"ah, wow.",,
15427,Gelman/2014-IndDiff/55C-P1.cha,CAR,I wonder why it has all those bumps on top of it.,,
15428,Gelman/2014-IndDiff/55C-P1.cha,CHI,uh.,,
15429,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh I remember.,1,
15430,Gelman/2014-IndDiff/55C-P1.cha,CHI,all crocodiles have those.,1,
15431,Gelman/2014-IndDiff/55C-P1.cha,CAR,do they?,,
15432,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15433,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you know why they have them?,,
15434,Gelman/2014-IndDiff/55C-P1.cha,CHI,wh- no.,1,
15435,Gelman/2014-IndDiff/55C-P1.cha,CAR,I don't either.,,
15436,Gelman/2014-IndDiff/55C-P1.cha,CAR,just curious.,,
15437,Gelman/2014-IndDiff/55C-P1.cha,CHI,orange.,,
15438,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm that looks like a tasty orange doesn't it?,,
15439,Gelman/2014-IndDiff/55C-P1.cha,CHI,why?,,
15440,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh it's just all the same color.,,
15441,Gelman/2014-IndDiff/55C-P1.cha,CAR,and it doesn't have any bruises on it.,,
15442,Gelman/2014-IndDiff/55C-P1.cha,CAR,looks like it'd be nice and juicy.,,
15443,Gelman/2014-IndDiff/55C-P1.cha,CHI,witch!,,
15444,Gelman/2014-IndDiff/55C-P1.cha,CAR,"who was it, I think it was Firstname that dressed up like a witch for Halloween.",,
15445,Gelman/2014-IndDiff/55C-P1.cha,CHI,mm.,,
15446,Gelman/2014-IndDiff/55C-P1.cha,CAR,I never got to see her in her costume but Firstname said that's what she dressed up as.,,
15447,Gelman/2014-IndDiff/55C-P1.cha,CHI,well look.,1,
15448,Gelman/2014-IndDiff/55C-P1.cha,CHI,there's even a bat.,1,
15449,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm.,,
15450,Gelman/2014-IndDiff/55C-P1.cha,CHI,I'm sure she didn't have a bat on her costume.,1,
15451,Gelman/2014-IndDiff/55C-P1.cha,CAR,no probably not.,,
15452,Gelman/2014-IndDiff/55C-P1.cha,CAR,but Firstname had a hat that had a flashing light on it.,,
15453,Gelman/2014-IndDiff/55C-P1.cha,CHI,like that witch did?,1,
15454,Gelman/2014-IndDiff/55C-P1.cha,CAR,well I don't know if that flashes or that's just a shiny thing on there.,,
15455,Gelman/2014-IndDiff/55C-P1.cha,CAR,maybe we can ask Firstname sometime to see her flashing hat.,,
15456,Gelman/2014-IndDiff/55C-P1.cha,CHI,yeah.,,
15457,Gelman/2014-IndDiff/55C-P1.cha,CAR,mm.,,
15458,Gelman/2014-IndDiff/55C-P1.cha,CHI,what's that?,1,
15459,Gelman/2014-IndDiff/55C-P1.cha,CAR,popcorn.,,
15460,Gelman/2014-IndDiff/55C-P1.cha,CHI,yum.,,
15461,Gelman/2014-IndDiff/55C-P1.cha,CAR,you know you got some popcorn when you went trick or treating.,,
15462,Gelman/2014-IndDiff/55C-P1.cha,CAR,little bags of popcorn that we can put in the microwave and cook.,,
15463,Gelman/2014-IndDiff/55C-P1.cha,CHI,oh yeah.,1,
15464,Gelman/2014-IndDiff/55C-P1.cha,CAR,would you like to make some?,,
15465,Gelman/2014-IndDiff/55C-P1.cha,CHI,yes please.,1,
15466,Gelman/2014-IndDiff/55C-P1.cha,CAR,okay.,,
15467,Gelman/2014-IndDiff/55C-P1.cha,CAR,what's that?,,
15468,Gelman/2014-IndDiff/55C-P1.cha,CHI,elephant.,,
15469,Gelman/2014-IndDiff/55C-P1.cha,CAR,yeah.,,
15470,Gelman/2014-IndDiff/55C-P1.cha,CHI,firstname like's elephants too.,0,
15471,Gelman/2014-IndDiff/55C-P1.cha,CAR,he does?,,
15472,Gelman/2014-IndDiff/55C-P1.cha,CAR,did you talk with Firstname about elephants?,,
15473,Gelman/2014-IndDiff/55C-P1.cha,CHI,no not really.,1,
15474,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh.,,
15475,Gelman/2014-IndDiff/55C-P1.cha,CAR,how do you know he likes them?,,
15476,Gelman/2014-IndDiff/55C-P1.cha,CHI,he just said because he brought el a elephant for show and tell.,-1,"object, determiner"
15477,Gelman/2014-IndDiff/55C-P1.cha,CAR,oh okay.,,
15478,Gelman/2014-IndDiff/55C-P1.cha,CAR,do you want to look at any of them again or are you all done?,,
